회사명,시가총액,주식수,액면가,업종명,회사코드,현재가,전날종가,고가,저가,시가,PER,추정PER,PBR,동일업종PER,17.12매출액(억원),18.12매출액(억원),19.12매출액(억원),20예상매출액(억원),19.2Q매출액(억원),19.3Q매출액(억원),19.4Q매출액(억원),20.1Q매출액(억원),20.2Q매출액(억원),20.3Q예상매출액(억원),17.12영업이익(억원),18.12영업이익(억원),19.12영업이익(억원),20예상영업이익(억원),19.2Q영업이익(억원),19.2영업이익(억원),19.4Q영업이익(억원),20.1Q영업이익(억원),20.2Q영업이익(억원),20.3Q예상영업이익(억원),17.12당기순이익(억원),18.12당기순이익(억원),19.12당기순이익(억원),20예상당기순이익(억원),19.2Q당기순이익(억원),19.3Q당기순이익(억원),19.4Q당기순이익(억원),20.1Q당기순이익(억원),20.2Q당기순이익(억원),20.3Q예상당기순이익(억원),17.12영업이익률(%),18.12영업이익률(%),19.12영업이익률(%),20예상영업이익률(%),19.2Q영업이익률(%),19.3Q영업이익률(%),19.4Q영업이익률(%),20.1Q영업이익률(%),20.2Q영업이익률(%),20.3Q예상영업이익률(%),17.12ROE(%),18.12ROE(%),19.12ROE(%),20예상ROE(%),19.2QROE(%),19.3QROE(%),19.3QROE(%),19.4QROE(%),20.2QROE(%),20.3Q예상ROE(%),17.12부채비율(%),18.12부채비율(%),19.12부채비율(%),20예상부채비율(%),19.2Q부채비율(%),19.3Q부채비율(%),19.4Q부채비율(%),20.1Q부채비율(%),20.2Q부채비율(%),20.3Q예상부채비율(%),17.12EPS(원),18.12EPS(원),19.12EPS(원),20예상EPS(원),19.2QEPS(원),19.3QEPS(원),19.4QEPS(원),20.1QEPS(원),20.2QEPS(원),20.3Q예상EPS(원),17.12PER(배),18.12PER(배),19.12PER(배),20예상PER(배),19.2QPER(배),19.3QPER(배),19.4QPER(배),20.1QPER(배),20.2QPER(배),20.3Q예상PER(배),17.12BPS(원),18.12BPS(원),19.12BPS(원),20예상BPS(원),19.2QBPS(원),19.3QBPS(원),19.4QBPS(원),20.1QBPS(원),20.2QBPS(원),20.3Q예상BPS(원),17.12PBR(배),18.12PBR(배),19.12PBR(배),20예상PBR(배),19.2QPBR(배),19.3QPBR(배),19.4QPBR(배),20.1QPBR(배),20.2QPBR(배),20.3Q예상PBR(배),종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인
KEC,,"116,706,940",500,반도체와반도체장비,'092220,"1,355","1,045","1,355","1,355","1,355",N/A,,0.76,17.11,"2,263","2,174","2,017",,551,521,463,461,435,,66,33,-70,,14,7,-79,-,-12,,14,18,-197,,21,16,-226,16,-16,,2.91,1.54,-3.45,,2.48,1.26,-17.11,-,-2.82,,0.45,0.67,-8.99,,-0.39,0.72,-8.99,-7.85,-9.48,,61.63,55.8,56.2,,54.87,53.32,56.2,57.46,56.07,,10,13,-167,,19,15,-192,13,-14,,130.29,79.41,-6.19,,-154.38,74.48,-6.19,-4.41,-4.53,,"1,961","1,953","1,782",,"1,960","1,984","1,782","1,796","1,785",,0.66,0.53,0.58,,0.61,0.54,0.58,0.36,0.45,,"1,355","1,045",806,754,765,770,750,752,747,787,767,824,851,805,805,812,808,812,813,818,"1,769,279","19,318,660","2,452,659","606,401","264,333","331,488","366,584","384,438","1,140,326","583,127","1,662,192","779,505","1,775,780","474,501","357,966","601,046","644,084","484,255","342,771","339,511","-9,760",879,"-14,978","1,474","9,893","9,788",771,-664,"-2,212",145,-127,-254,"-3,426","-1,221","-2,769",-240,82,"-8,008","2,468","-23,322","-6,041","-319,244","-149,117","-129,104","-32,540","28,810",-702,"-19,251","-190,232","8,717","-322,673","-79,112","91,046","-67,295",-911,"-9,441","-157,064","-33,251","3,939","25,780"
KISCO홀딩스,,"18,476,380","1,000",철강,'001940,"11,600","11,500","11,600","11,500","11,300",4.31,,0.21,19.11,"12,213","12,886","11,830",,"3,225","2,909","2,766","2,432","2,938",,974,657,576,,127,178,59,173,323,,-72,363,629,,149,198,58,199,310,,7.97,5.1,4.87,,3.93,6.13,2.13,7.12,11,,1.7,3.29,5.58,,4.17,6.17,5.58,5.24,6.04,,18.27,20.8,17.31,,15.55,17.89,17.31,13.56,12.98,,697,"1,372","2,408",,694,644,336,609,"1,101",,21.3,10.02,5.31,,8.01,4.74,5.31,4.26,4.2,,"49,695","50,920","53,446",,"52,371","53,135","53,446","53,729","55,135",,0.3,0.27,0.24,,0.27,0.24,0.24,0.18,0.2,,"11,600","11,500","11,500","11,400","11,400","11,350","11,250","11,150","11,000","11,400","11,350","11,650","11,250","11,150","11,200","11,200","11,100","11,400","11,500","11,550","6,902","2,844","9,158","12,635","8,596","7,159","3,953","16,955","57,195","17,162","10,116","26,848","16,622","25,643","21,442","58,789","98,016","56,728","5,378","4,471",882,535,"-2,069","1,296",-698,783,-289,602,"3,733","-1,822","1,417","1,347","1,103","-3,650","1,305","-27,569","-68,475","-32,782","-1,045",766,573,248,"-4,513",-189,-94,657,15,631,"2,618",397,-260,"1,339","1,904",814,974,"2,059",442,-46,126,165
LG,,"172,557,131","5,000",복합기업,'003550,"82,700","82,700","84,300","82,300","82,100",17.65,10,0.73,19.64,"118,411","77,434","65,753","68,601","16,196","16,753","16,531","15,854","14,950","16,775","21,858","18,213","10,241","17,763","2,711","3,554",-656,"6,077","3,593","4,404","24,356","18,829","11,068","15,287","5,210","3,409","-1,970","5,921","1,312","3,941",18.46,23.52,15.57,25.89,16.74,21.21,-3.97,38.33,24.03,26.25,16.04,10.96,5.87,7.7,10,9.13,5.92,6.6,4.32,,33.8,25.72,17.95,,18.5,17.78,17.95,17.4,16.29,,"13,623","10,598","6,141","8,507","2,932","1,893","-1,181","3,351",682,"2,156",6.68,6.6,12.02,9.72,7.49,7.32,11.9,8.43,15,38.35,"91,042","102,399","107,111","114,046","106,833","108,969","107,111","108,653","112,844",,1,0.68,0.69,0.73,0.72,0.64,0.69,0.54,0.63,,"82,700","82,700","84,800","85,300","88,100","87,800","85,400","85,800","79,100","82,700","82,500","86,000","90,000","88,600","87,300","90,000","86,000","82,600","82,300","78,200","305,357","469,671","347,883","295,849","303,647","289,524","302,517","548,515","475,768","237,344","396,942","438,723","749,333","604,173","822,047","546,654","487,203","339,434","469,770","550,498","-43,048",-771,"11,463","-56,449","-59,600","-18,715","-24,723","98,254","-65,020","-33,323","50,149","-1,218","54,832","145,213","-140,388","-37,039","-56,757","-9,296","49,196","23,460","15,702","-25,000","-59,745","14,927","25,312","18,592","-22,867","-8,770","65,534","21,917","-9,693","-86,749","-86,352","-133,025","51,097","91,130","177,344","39,919","74,011","65,836"
LG디스플레이,,"357,815,700","5,000",디스플레이패널,'034220,"14,900","14,600","14,950","14,600","14,550",N/A,-6,0.49,-1.77,"277,902","243,366","234,756","233,180","53,534","58,217","64,217","47,242","53,070","65,978","24,616",929,"-13,594","-8,332","-3,687","-4,367","-4,219","-3,619","-5,170",-330,"19,371","-1,794","-28,721","-8,592","-5,502","-4,422","-18,171","-1,989","-5,038",-991,8.86,0.38,-5.79,-3.57,-6.89,-7.5,-6.57,-7.66,-9.74,-0.5,13.19,-1.46,-22.35,-7.68,-3.35,-6.55,-22.35,-23.33,-23.86,,94.64,122.86,184.86,,141.71,161.37,184.86,185.64,189.69,,"5,038",-579,"-7,908","-2,368","-1,533","-1,172","-5,033",-556,"-1,367",-349,5.93,-31.16,-2.05,-6.16,-13.89,-5.74,-2.05,-1.34,-1.4,-41.78,"40,170","39,068","31,694","30,016","37,794","36,730","31,694","31,773","30,335",,0.74,0.46,0.51,0.49,0.47,0.39,0.51,0.35,0.37,,"14,900","14,600","14,850","14,950","15,350","15,150","15,100","13,350","12,550","12,900","13,000","13,700","13,250","13,150","13,150","13,150","12,400","12,600","12,450","12,500","2,254,066","3,740,750","5,436,465","4,824,965","8,143,707","6,737,779","16,215,702","5,879,552","2,943,718","2,011,512","4,192,002","4,977,332","6,314,005","2,681,052","3,378,387","5,966,549","1,510,924","2,131,227","1,424,761","1,822,439","152,942","70,476","-570,991","-45,049","329,487","-114,597","1,514,600","161,974","-266,221","81,577","-25,570","243,855","-44,485","-89,022","-127,230","27,095","-116,868","63,544","-114,572","-147,427","-37,246","-118,169","95,721","169,332","73,750","-393,232","-143,757","611,850","465,393","-18,800","-95,609","277,775","-916,899","147,881","-108,372","417,369","-146,551","-23,329","103,270","-59,456"
LS전선아시아,,"30,624,879",500,전기장비,'229640,"6,940","6,860","7,040","6,950","6,850",18.41,,1.48,-42.59,"4,037","4,413","5,203",,"1,350","1,372","1,258","1,325","1,348",,198,180,260,,67,64,69,73,5,,143,107,171,,42,44,42,40,-,,4.9,4.07,4.99,,4.93,4.64,5.49,5.5,0.41,,10.69,8.18,12.07,,10.06,11.5,12.07,11.62,8.38,,113.61,143.42,123.08,,153.69,129.16,123.08,147.01,139.97,,419,323,523,,129,135,129,120,-7,,15.02,17.42,15.33,,20.81,16.27,15.33,13.32,17.31,,"3,825","4,078","4,591",,"4,302","4,638","4,591","4,702","4,688",,1.64,1.38,1.75,,2.02,1.73,1.75,1.45,1.39,,"6,940","6,860","6,670","6,630","6,710","6,830","6,680","6,640","6,620","6,850","6,700","6,900","6,980","6,900","6,960","7,020","6,690","6,730","6,700","6,740","144,021","223,538","129,635","82,056","61,668","86,200","84,991","134,298","117,716","126,224","251,561","94,345","121,075","116,710","155,751","434,908","108,835","64,570","71,470","74,033","-4,694","-5,930","-19,870","-2,549","-1,538",-29,"1,178","-7,833","-6,137","-3,524","-1,130","-5,697","-4,993","-4,594","-2,682","-10,698","-25,681","-1,586","-20,679",-670,"-23,832","52,886","16,880","-14,458","-8,222","14,277","29,333","3,249","-35,901","1,210","-13,436","2,296","14,767","-10,157","-25,910","122,057","-16,710","3,336","-1,066","19,190"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&T;중공업,,"33,252,697","2,500",자동차부품,'003570,"5,300","5,230","5,330","5,220","5,220",11.67,,0.22,14.79,"4,363","3,963","3,751",,"1,053",935,924,734,698,,-375,161,192,,38,27,85,37,34,,-309,198,166,,40,15,68,34,35,,-8.59,4.06,5.13,,3.65,2.85,9.25,5.01,4.81,,-4.92,3.27,2.72,,4.87,4.82,2.72,2.56,2.47,,38.69,39.2,36.34,,39.28,36.01,36.34,35.4,35.14,,-930,596,501,,119,44,205,101,104,,-7.86,12.08,13.2,,8.05,7.02,13.2,11.76,11.16,,"20,722","22,707","23,066",,"22,823","22,888","23,066","23,147","23,900",,0.35,0.32,0.29,,0.31,0.27,0.29,0.24,0.21,,"5,300","5,230","5,120","5,080","4,985","4,975","4,910","4,960","4,910","5,100","5,040","5,130","5,140","5,100","5,100","5,040","5,010","4,980","4,960","5,030","128,509","271,934","197,822","327,804","45,210","56,828","74,451","81,329","145,940","69,188","167,075","63,804","101,913","113,139","79,705","310,558","383,579","209,100","177,548","84,057","-11,125","4,361","90,469","90,546","-1,156","-2,164","-8,140","-11,587","-13,948","-11,538","10,398","-7,524","-12,256","-11,515",-310,"137,711","-71,082","-4,810","-50,219","-10,217","12,238","12,270","-37,468","-46,139","-5,760","-6,471","-33,251","-2,521","-13,241","4,162","-9,462","-11,975","5,969","-11,963","9,318","3,946","2,874","7,501","-33,278","-5,350"
S&T;홀딩스,,"16,303,886",500,자동차부품,'036530,"15,100","15,150","15,200","15,150","15,000",4.54,,0.28,14.79,"15,082","14,013","15,121",,"4,031","3,699","4,181","3,350","3,186",,606,727,"1,263",,332,402,350,284,249,,259,737,"1,245",,469,344,205,423,142,,4.02,5.18,8.35,,8.24,10.87,8.36,8.48,7.81,,1.14,4.36,8.78,,7.71,9.15,8.78,9.96,6.85,,41.26,40.62,37.56,,42.12,38.3,37.56,37,38.75,,417,"1,683","3,835",,"1,799",996,573,"1,307",450,,37.78,7.72,4.03,,4.32,3.76,4.03,2.78,4.6,,"36,945","41,926","50,552",,"50,309","51,453","50,552","53,143","54,652",,0.43,0.31,0.31,,0.29,0.29,0.31,0.24,0.28,,"15,100","15,150","15,050","14,950","15,050","15,350","15,150","15,000","14,850","14,850","14,650","15,050","15,050","15,200","15,350","15,300","15,050","15,200","15,200","15,500","2,326","4,865","4,407","6,304","10,559","17,383","5,816","3,217","18,960","14,309","9,093","6,708","8,951","8,865","9,049","10,441","4,287","5,846","5,078","10,326",-462,"1,512",-410,"-1,830",-47,"3,287",-261,112,"9,961","7,321",-35,"-2,980","-1,652","1,734","1,476","1,483",-590,-503,-87,"3,603",2,107,"-1,211","1,626",226,"1,494",-652,398,-356,-711,-529,184,72,403,-103,78,-795,392,41,154
S-Oil,,"112,582,792","2,500",석유와가스,'010950,"56,900","56,500","57,200","56,500","56,100",N/A,-10,1.2,-11.29,"208,914","254,633","243,942","175,770","62,573","62,345","64,762","51,984","34,518","43,032","13,733","6,395","4,201","-6,961",-905,"2,307",95,"-10,073","-1,643","2,622","12,465","2,580",654,"-6,514","-1,474",516,477,"-8,806",-669,"1,927",6.57,2.51,1.72,-3.96,-1.45,3.7,0.15,-19.38,-4.76,6.09,18.84,3.88,1.01,-10.62,-1.96,-4.62,1.01,-15.29,-14.21,,120.49,146.63,151.41,,167.29,162.16,151.41,192.22,204.63,,"10,690","2,213",561,"-5,587","-1,264",442,409,"-7,552",-574,"1,278",10.94,44.15,169.84,-10.11,-76.41,-37.87,169.84,-7.17,-8.73,44.2,"58,775","55,568","55,803","49,545","55,087","55,414","55,803","47,965","47,470",,1.99,1.76,1.71,1.14,1.52,1.79,1.71,1.19,1.34,,"56,900","56,500","57,400","57,400","58,600","59,700","57,900","58,500","58,100","60,500","61,100","63,600","63,600","64,300","64,000","61,400","62,300","61,800","61,100","60,000","225,499","445,289","353,523","556,492","399,421","439,178","233,182","298,191","607,801","354,561","496,766","372,293","651,143","520,713","1,738,419","436,930","670,373","552,480","564,299","273,418","3,216","-1,510","-22,865","-121,436","-41,750","59,791","-23,479","-32,916","-78,539","-88,776","-24,106","2,833","-43,509","-56,843","105,136","-53,333","-58,253","-55,796","-131,870","-55,416","-6,742","-118,045","-41,649","-172,514","-139,245","7,153","-26,101","-10,307","-35,222","-28,183","-39,545","-28,663","-64,363","-46,486","131,125","-62,290","90,074","60,484","153,122","2,409"
SK네트웍스,,"248,187,647","2,500",복합기업,'001740,"5,110","5,190","5,250","5,230","5,090",N/A,9,0.53,19.64,"152,023","126,458","130,542","112,081","33,632","38,736","25,332","28,746","24,335","29,381","1,428","1,335","1,094","1,850",519,833,-609,409,303,637,346,77,"-1,226","1,449",58,382,"-1,613",-33,"1,059",,0.94,1.06,0.84,1.65,1.54,2.15,-2.41,1.42,1.25,2.17,1.39,0.31,-5.85,6.16,0.13,1.85,-5.85,-5.96,-1.32,,207.74,236.05,339.81,,336.94,332.41,339.81,365.07,317.34,,135,29,-530,545,12,135,-651,-21,420,129,49.42,178.04,-11.21,9.52,429.39,31.96,-11.21,-8.65,-40.29,40.31,"9,849","9,709","8,989","10,216","9,581","9,730","8,989","9,045","9,711",,0.68,0.54,0.66,0.51,0.53,0.57,0.66,0.5,0.49,,"5,110","5,190","5,080","5,080","5,140","5,170","5,140","5,130","5,040","5,280","5,230","5,450","5,430","5,370","5,280","5,230","5,180","5,340","4,995","5,020","743,098","1,323,585","593,011","568,223","480,529","507,246","413,768","443,275","893,529","663,292","896,849","995,397","936,303","1,119,410","934,891","786,727","1,167,681","1,833,826","547,239","879,274","-178,185","126,804","49,086","3,000",221,"15,145","6,278","54,846","-60,817","-7,250","154,027","97,481","107,403","32,744","-47,203","-55,456","-71,571","329,474","-134,711","-173,852","-186,862","76,735","-75,912","94,035","4,147","-19,562","-15,459","9,554","34,246","66,902","149,996","75,848","59,970","94,445","120,556","-53,879","-24,173","524,865","17,898","-89,310"
SK케미칼,,"11,741,396","5,000",화학,'285130,"415,000","393,500","430,000","400,000","392,500",21.35,22,5.71,77.78,878,"13,677","14,272","11,801","3,802","3,805","3,471","2,525","2,884","3,273",-92,457,803,839,304,271,191,80,176,305,-99,-164,50,"2,616",124,27,16,130,"2,393","1,243",-10.45,3.34,5.63,7.11,8.01,7.13,5.51,3.17,6.12,9.3,,0.87,1.51,30.4,-0.47,-2.73,1.51,4.4,30.66,,161.49,168.87,196.6,,182.61,181.69,196.6,187.22,134.88,,-655,462,807,"19,167","1,026",193,124,989,"18,132","2,080",,151.41,79.34,20.53,-222.91,-30.38,79.34,36.34,6.61,189.22,"53,425","53,114","54,268","71,934","54,261","54,469","54,268","54,853","72,639",,-,1.32,1.18,5.47,1.06,0.83,1.18,1.54,1.77,,"415,000","393,500","393,000","402,000","414,000","416,500","400,000","395,500","401,500","412,000","379,000","386,000","436,000","400,000","401,000","401,500","339,000","319,500","305,000","300,000","807,029","314,375","346,284","300,646","382,648","669,755","330,485","395,820","654,956","803,137","654,492","1,935,908","1,138,610","478,482","576,885","1,815,181","734,159","540,379","795,124","1,078,123","18,758","-42,121","-23,856","-5,465","-1,058","25,713","19,074","-27,819","46,332","63,602","6,344","-116,216","12,966","-27,513","-26,144","96,972","37,100","39,270","21,318","48,346","12,042","7,540","6,208","2,987","23,551","-12,352","23,042","10,500","-39,843","32,004","42,039","-3,040","15,225","-21,388",63,"-6,481","-5,745","22,454","23,080","-4,676"
경동인베스트,,"2,365,023","5,000",석유와가스,'012320,"26,400","26,450","26,600","26,550","26,400",5.92,,0.14,-11.29,"1,951","2,286","2,718",,611,632,894,619,752,,364,389,220,,33,71,47,33,41,,519,306,89,,22,59,-27,49,35,,18.65,17.03,8.08,,5.47,11.23,5.31,5.27,5.46,,10.98,7.46,2.26,,0.85,2.2,2.26,2.58,2.61,,49.67,47.13,46.06,,46.57,44.68,46.06,46.18,43.23,,"19,741","11,862","3,850",,997,"2,316",-838,"1,911","1,073",,2.17,3.14,9.52,,28.68,9.3,9.52,5.39,6.25,,"155,248","175,720","180,241",,"175,462","177,914","180,241","185,611","188,170",,0.28,0.21,0.2,,0.23,0.19,0.2,0.13,0.15,,"26,400","26,450","26,500","26,500","26,650","26,350","25,950","25,950","25,950","27,350","27,300","28,250","28,300","28,750","27,950","27,950","27,600","27,650","27,400","27,500","4,124","3,977","7,330","4,928","4,069","3,679","2,725","3,499","9,954","3,794","6,072","4,788","7,222","14,851","5,504","3,137","3,069","1,866","3,597",839,-355,-976,"1,064",273,-43,97,-167,1,-93,255,-413,"-1,428",298,"-1,060",384,-138,141,57,-153,-110,124,107,274,-261,-232,116,-337,-294,-463,116,-484,-39,391,141,376,234,340,113,33,43
계룡건설,,"8,930,907","5,000",건설,'013580,"25,100","24,800","25,750","24,500","24,250",3,,0.46,6.45,"22,408","22,927","22,757",,"5,442","5,270","6,647","4,750","5,500",,"1,150","1,537","1,359",,420,298,401,246,437,,565,945,746,,212,185,194,124,261,,5.13,6.7,5.97,,7.72,5.66,6.03,5.19,7.95,,16.7,24.46,16.94,,22.59,20.16,16.94,16.06,16.43,,314.02,292.48,299.22,,291.96,288.27,299.22,305.08,297.96,,"5,856","9,987","8,013",,"2,243","2,017","2,088","1,400","2,850",,2.95,2.18,2.53,,2.85,2.43,2.53,1.69,1.83,,"38,153","44,186","51,185",,"47,649","49,708","51,185","51,939","54,892",,0.45,0.49,0.4,,0.58,0.45,0.4,0.25,0.28,,"25,100","24,800","23,600","22,300","23,550","23,550","22,650","22,250","22,700","24,500","24,200","28,050","30,500","28,000","27,300","27,900","27,650","26,700","27,600","28,250","231,154","273,406","326,959","156,491","134,739","215,646","140,411","135,206","293,163","278,313","635,303","1,026,913","1,331,045","620,621","196,778","437,930","819,670","160,369","120,558","329,891",-101,495,14,-2,-5,-206,-4,35,-578,462,"-9,828",922,"-88,139","-10,843",1,"1,360","-38,888",-166,-81,"-8,024","-10,553","-42,005","23,409","1,838","-4,504","6,789","19,892","12,770","25,046","10,470","81,144","-27,592","-35,671","23,082","7,076","-17,072","56,978","10,029","-2,135",219
고려제강,,"20,000,000","1,000",철강,'002240,"14,100","14,200","14,350","14,150","14,050",N/A,,0.21,19.11,"15,505","15,772","16,397",,"4,396","4,032","3,974","3,719","2,858",,388,380,317,,166,50,-7,25,-185,,225,19,61,,86,61,-172,32,-219,,2.5,2.41,1.93,,3.79,1.23,-0.17,0.66,-6.48,,1.72,0.25,0.73,,1.01,1.69,0.73,0.41,-1.52,,64.61,63.85,58.83,,62.35,58.84,58.83,59.49,52.32,,"1,184",169,499,,431,270,-661,240,-900,,27.69,137.43,41.18,,37.34,20.34,41.18,48.8,-14.51,,"68,296","68,219","68,850",,"69,756","70,525","68,850","69,270","68,271",,0.48,0.34,0.3,,0.38,0.34,0.3,0.2,0.22,,"14,100","14,200","14,200","14,200","14,550","14,850","14,450","14,500","14,450","15,450","15,500","16,300","16,450","16,300","16,150","15,700","15,950","16,200","15,900","15,800","36,344","48,256","25,546","31,377","28,913","30,643","42,937","42,677","109,444","60,498","118,513","60,999","132,157","86,614","109,577","71,057","50,954","58,941","35,725","27,449","-19,456","7,760","-5,408","-5,935","-7,039","-12,914","-14,170","-13,694","-17,080","-19,235","-6,354","-5,643","-8,185","-6,405","-17,447","-36,772","-12,657","2,176","-7,786","-3,868","-2,109","-4,684","-1,992","-5,255","-3,948","3,910","6,549","-3,607","-13,870","-1,645","-13,907","2,645","6,255",547,"42,789",349,"1,368","21,233","11,871","3,490"
국동,,"38,167,114",500,"섬유,의류,신발,호화품",'005320,"3,970","3,780","3,980","3,755","3,700",12.45,,1.59,23.84,"1,916","2,196","2,231",,574,650,496,456,840,,-59,57,-42,,25,-78,-4,-36,261,,-90,30,-40,,19,-54,-23,-18,188,,-3.06,2.59,-1.9,,4.3,-12.05,-0.83,-7.84,31.07,,-19.01,6.53,-7.07,,8.22,-1.7,-7.07,-12.54,11.5,,149.37,156.47,106.66,,113.35,103.92,106.66,119.32,127.33,,-613,185,-186,,111,-194,-84,-63,546,,-4.32,12.36,-6.64,,7.18,-31.41,-6.64,-5.01,8.9,,"2,817","3,003","2,355",,"2,513","2,301","2,355","2,402","2,493",,0.94,0.76,0.52,,0.83,0.67,0.52,0.66,1.14,,"3,970","3,780","3,590","3,435","3,355","3,060","3,100","3,120","3,000","3,210","3,170","3,285","3,570","3,380","3,360","3,450","3,300","3,210","3,170","3,170","3,319,727","4,406,668","5,032,118","6,294,767","2,523,695","1,453,007","1,136,174","4,176,650","2,173,641","1,613,924","3,526,752","13,631,875","3,974,127","1,144,518","1,111,453","2,064,086","3,088,803","1,182,440","1,436,205","1,422,968","22,213","24,151","9,269",-81,6,"-1,117","-12,687","13,255",-14,938,"10,348","-282,854","50,663",-46,"-6,527","-28,350","-13,884",-755,"-1,797","-1,297","106,066","-116,467","567,391","-272,809","188,898","35,996","-86,096","-13,327","-36,496","101,678","-22,651","-568,643","326,533","-97,491","-180,649","59,280","8,079","149,399","108,738","74,848"
남양유업,,"720,000","5,000",식품,'003920,"271,500","272,500","274,000","274,000","269,000",N/A,,0.26,24.96,"11,670","10,797","10,308",,"2,639","2,553","2,605","2,315","2,442",,51,86,4,,6,-9,-6,-206,-120,,50,20,292,,201,-14,52,-269,1,,0.43,0.8,0.04,,0.21,-0.33,-0.22,-8.88,-4.9,,0.56,0.23,3.25,,2.88,2.37,3.25,-0.33,-2.56,,15.72,18.43,15.8,,20.12,17.32,15.8,16.77,16.5,,"5,663","2,273","32,968",,"22,722","-1,606","5,843","-30,300",97,,123.09,274.54,13.33,,19.17,20.32,13.33,-88,-10.92,,"1,057,420","1,050,154","1,077,820",,"1,079,224","1,077,547","1,077,820","1,045,090","1,045,388",,0.66,0.59,0.41,,0.52,0.46,0.41,0.28,0.27,,"271,500","272,500","269,500","269,000","273,000","271,500","268,500","270,000","270,000","287,000","291,000","307,000","307,500","306,500","305,500","304,000","302,000","305,000","309,000","318,500","1,542","2,452","3,184","1,704","3,274","2,902","2,714","2,915","6,642","3,202","4,756","2,296","3,436","3,709","2,164","5,028","4,491","4,589","6,896","5,836",14,-298,-55,105,-446,-503,-557,"-1,499","-1,658",-496,-48,-4,-90,50,-604,-481,5,-40,-510,-494,-539,196,103,-415,729,227,-99,-318,-624,16,-803,-80,10,-536,-103,"-1,232",-947,-587,-476,131
노루페인트,,"20,000,000",500,건축자재,'090350,"7,140","7,070","7,190","7,120","7,050",7.85,,0.44,-80.24,"5,514","6,147","6,475",,"1,860","1,701","1,518","1,389","1,744",,278,227,292,,144,115,-6,52,113,,294,127,189,,104,80,-22,44,84,,5.03,3.69,4.5,,7.75,6.75,-0.38,3.73,6.49,,10.23,4.2,6,,4.78,6.76,6,6.55,5.75,,97.91,97.35,94.6,,106.05,98.76,94.6,101.75,101.13,,"1,439",623,924,,509,390,-108,214,413,,6.03,13.22,8.82,,10.7,7.18,8.82,6.15,7.8,,"14,613","15,042","15,754",,"15,489","15,897","15,754","15,731","16,140",,0.59,0.55,0.52,,0.5,0.47,0.52,0.39,0.44,,"7,140","7,070","6,990","6,980","7,110","7,140","7,030","7,030","7,030","7,260","7,280","7,730","7,710","7,780","7,860","7,880","7,370","7,310","7,300","7,410","59,166","66,144","98,251","77,700","76,467","86,882","42,200","76,550","144,688","66,551","149,093","65,393","120,441","156,560","327,462","611,869","113,564","78,476","260,801","187,366","-2,698","1,024","-2,338","-1,493",175,483,"-2,698","-1,123","-3,862","-2,238","-1,365","-7,588","-18,619","-1,560","-7,652","-8,711","-4,596","-4,053","-153,887","-34,392","9,360","3,736","-5,202","-15,425","-8,375","15,315","-1,743","-5,217","-23,299","2,296","-24,325","18,296","5,155","11,936","-35,534","76,902","18,049","20,869","-6,602","40,182"
대상,,"34,648,025","1,000",식품,'001680,"28,150","28,900","29,000","28,800","27,850",7.53,8,0.93,24.96,"29,688","29,568","29,640","30,940","7,315","7,837","7,254","7,558","7,819","8,122",967,"1,202","1,298","1,850",337,423,156,498,610,549,518,654,"1,089","1,329",370,223,258,533,351,382,3.26,4.06,4.38,5.98,4.61,5.4,2.16,6.59,7.8,6.75,6.13,7.27,11.17,12.5,6.93,6.89,11.17,13.99,13.15,,154.67,136.78,134.5,,145.74,132.53,134.5,150.56,143.04,,"1,464","1,801","2,976","3,689","1,016",611,704,"1,474",952,919,18.82,13.91,7.79,7.83,13.42,12.1,7.79,4.45,6.91,31.45,"24,181","25,405","27,896","31,141","26,775","27,597","27,896","28,718","30,129",,1.14,0.99,0.83,0.93,0.91,0.81,0.83,0.59,0.86,,"28,150","28,900","29,350","28,600","28,150","28,300","27,800","26,800","28,000","28,250","28,050","26,250","26,650","27,000","26,500","26,500","25,800","25,650","25,700","26,100","403,670","451,362","626,544","426,052","255,789","417,738","346,124","600,943","1,011,434","946,110","2,222,218","219,145","291,248","535,304","235,463","325,523","179,983","197,443","134,803","282,874","-20,279","-54,071","3,134","72,803","-3,129","-13,355","49,612","-57,266","-17,257","-18,453","137,812","11,403","-46,874","-96,721","-12,074","-6,564","-27,988","-62,315","-15,858","-26,511","40,285","-25,209",224,"-9,739","-15,567","5,238","28,013","-64,302","22,794","-65,078","76,686","13,933","20,206","94,691","15,977","12,692","26,780","17,881","-2,328","38,848"
